model,record_type,epoch,val_mae,val_spearman,split,MAE,Spearman
"ESM2 150M, seed 42, bs1",validation_history,6.0,0.9927913082970512,0.437351076743245,validation,,
"ESM2 150M, seed 42, bs1",validation_history,7.0,0.978083620723496,0.4716390175186201,validation,,
"ESM2 150M, seed 42, bs1",validation_history,8.0,0.9753439120757276,0.4778507095865366,validation,,
"ESM2 150M, seed 42, bs1",validation_history,9.0,0.9812714401473348,0.4653374095220968,validation,,
"ESM2 150M, seed 42, bs1",validation_history,10.0,0.9778326596969212,0.4637638807714786,validation,,
"ESM2 150M, seed 42, bs1",validation_history,11.0,0.9620205276032798,0.481012753075874,validation,,
"ESM2 150M, seed 42, bs1",validation_history,12.0,0.9711423225891896,0.4812974868497954,validation,,
"ESM2 150M, seed 42, bs1",validation_history,13.0,0.9421864044971956,0.501558542762517,validation,,
"ESM2 150M, seed 42, bs1",validation_history,14.0,0.9560377067989774,0.5050128130198265,validation,,
"ESM2 150M, seed 42, bs1",validation_history,15.0,0.9540411570133308,0.4946125372776454,validation,,
"ESM2 150M, seed 42, bs1",validation_history,16.0,0.9376280002104932,0.5008317223396125,validation,,
"ESM2 150M, seed 42, bs1",validation_history,17.0,0.9767186132251708,0.4959387972245949,validation,,
"ESM2 150M, seed 42, bs1",validation_history,18.0,1.0430847599975064,0.5056122525438714,validation,,
"ESM2 150M, seed 42, bs1",validation_history,19.0,0.9559196142049936,0.4984564432255839,validation,,
"ESM2 150M, seed 42, bs1",validation_history,20.0,0.955282684065338,0.489906937013892,validation,,
"ESM2 150M, seed 42, bs1",validation_history,21.0,0.9842593384604168,0.4674054758800521,validation,,
"ESM2 150M, seed 42, bs1",validation_history,22.0,1.0105549168382957,0.4491525423728813,validation,,
"ESM2 150M, seed 42, bs1",validation_history,23.0,1.0059879682002923,0.4239236314046366,validation,,
"ESM2 150M, seed 42, bs1",validation_history,24.0,0.9977558331611828,0.4229645281661646,validation,,
"ESM2 150M, seed 42, bs1",validation_history,25.0,1.004125030631693,0.4107134828934946,validation,,
"ESM2 150M, seed 42, bs1",validation_history,26.0,1.064637175992004,0.3979454210313357,validation,,
"ESM2 150M, seed 42, bs1",validation_history,27.0,1.017307546403673,0.4129089301503094,validation,,
"ESM2 150M, seed 42, bs1",validation_history,28.0,1.0130443287710855,0.4140403722519444,validation,,
"ESM2 150M, seed 42, bs1",validation_history,29.0,1.0121729170155322,0.42343658679135,validation,,
"ESM2 150M, seed 42, bs1",validation_history,30.0,1.0141246828258548,0.428869007478008,validation,,
"ESM2 150M, seed 42, bs1",validation_history,31.0,1.02923706250313,0.3887440243372446,validation,,
"ESM2 150M, seed 42, bs1",validation_history,32.0,1.013546047047672,0.4089601222856629,validation,,
"ESM2 150M, seed 42, bs1",validation_history,33.0,1.032504344597841,0.3794002607561929,validation,,
"ESM2 150M, seed 42, bs1",validation_history,34.0,1.0450856257707646,0.4215258733084566,validation,,
"ESM2 150M, seed 42, bs1",validation_history,35.0,1.0537136416149957,0.3880396828964917,validation,,
"ESM2 150M, seed 42, bs1",validation_history,36.0,1.026375758342254,0.4003581651156168,validation,,
"ESM2 150M, seed 42, bs1",validation_history,37.0,1.0514623018411489,0.390639751832037,validation,,
"ESM2 150M, seed 42, bs1",validation_history,38.0,1.0293549187163002,0.3902576091354583,validation,,
"ESM2 150M, seed 42, bs1",validation_history,39.0,1.0373281189519117,0.3951879992207285,validation,,
"ESM2 150M, seed 42, bs1",validation_history,40.0,1.0305054147019346,0.3842257489247553,validation,,
"ESM2 150M, seed 42, bs1",validation_history,41.0,1.0650251767574213,0.3653733758935395,validation,,
"ESM2 150M, seed 42, bs1",validation_history,42.0,1.0417971794421856,0.3932398207675822,validation,,
"ESM2 150M, seed 42, bs1",validation_history,43.0,1.0337808784256637,0.4037300124383701,validation,,
"ESM2 150M, seed 42, bs1",validation_history,44.0,1.0426552560594349,0.383528900478053,validation,,
"ESM2 150M, seed 42, bs1",validation_history,45.0,1.0364673545217922,0.4026060633307857,validation,,
"ESM2 150M, seed 42, bs1",validation_history,46.0,1.0255089417482033,0.4094471668989494,validation,,
"ESM2 150M, seed 42, bs1",validation_history,47.0,1.0595151624108992,0.3896731555995144,validation,,
"ESM2 150M, seed 42, bs1",validation_history,48.0,1.0558225762130868,0.3762906682252094,validation,,
"ESM2 150M, seed 42, bs1",validation_history,49.0,1.0412238826099625,0.4079036101245335,validation,,
"ESM2 150M, seed 42, bs1",validation_history,50.0,1.0224430275778484,0.4014671282351001,validation,,
"ESM2 150M, seed 123, bs1",validation_history,1.0,1.2454132626199317,0.0237677771283849,validation,,
"ESM2 150M, seed 123, bs1",validation_history,2.0,1.0920283855536046,0.1417149964782927,validation,,
"ESM2 150M, seed 123, bs1",validation_history,3.0,1.0573996560186405,0.2468791679779406,validation,,
"ESM2 150M, seed 123, bs1",validation_history,4.0,1.046724413195227,0.3088012708117909,validation,,
"ESM2 150M, seed 123, bs1",validation_history,5.0,1.038110248044006,0.3356711474771088,validation,,
"ESM2 150M, seed 123, bs1",validation_history,6.0,1.029768444534041,0.3468506946005484,validation,,
"ESM2 150M, seed 123, bs1",validation_history,7.0,1.028764431293194,0.3671492154835228,validation,,
"ESM2 150M, seed 123, bs1",validation_history,8.0,1.0213185131040394,0.379947249321884,validation,,
"ESM2 150M, seed 123, bs1",validation_history,9.0,1.0266555598658371,0.3926553672316384,validation,,
"ESM2 150M, seed 123, bs1",validation_history,10.0,1.0034554595621223,0.4170975138245739,validation,,
"ESM2 150M, seed 123, bs1",validation_history,11.0,0.9994805572379348,0.4286666966386428,validation,,
"ESM2 150M, seed 123, bs1",validation_history,12.0,1.0031686725779476,0.4239311243986872,validation,,
"ESM2 150M, seed 123, bs1",validation_history,13.0,0.9893320156977728,0.4467098263123979,validation,,
"ESM2 150M, seed 123, bs1",validation_history,14.0,0.988279004382272,0.4463426696039203,validation,,
"ESM2 150M, seed 123, bs1",validation_history,15.0,0.9861008448478504,0.4520598240644996,validation,,
"ESM2 150M, seed 123, bs1",validation_history,16.0,0.9850699840447842,0.4525768406539885,validation,,
"ESM2 150M, seed 123, bs1",validation_history,17.0,0.9866851415389624,0.4573948358285003,validation,,
"ESM2 150M, seed 123, bs1",validation_history,18.0,0.9865312250251445,0.4613736156693491,validation,,
"ESM2 150M, seed 123, bs1",validation_history,19.0,0.9758799707787668,0.4649552668255181,validation,,
"ESM2 150M, seed 123, bs1",validation_history,20.0,0.9696607059902616,0.4706499423039457,validation,,
"ESM2 150M, seed 123, bs1",validation_history,21.0,0.9656288766453408,0.4693986122975017,validation,,
"ESM2 150M, seed 123, bs1",validation_history,22.0,0.9602074419331348,0.4822416041001663,validation,,
"ESM2 150M, seed 123, bs1",validation_history,23.0,0.9564492009643816,0.4820992372132057,validation,,
"ESM2 150M, seed 123, bs1",validation_history,24.0,0.9507155133108808,0.4885132401204873,validation,,
"ESM2 150M, seed 123, bs1",validation_history,25.0,0.9455292999234974,0.5000074929940505,validation,,
"ESM2 150M, seed 123, bs1",validation_history,26.0,0.9428456013019269,0.5006518904823989,validation,,
"ESM2 150M, seed 123, bs1",validation_history,27.0,0.9361401439731956,0.4969878163916738,validation,,
"ESM2 150M, seed 123, bs1",validation_history,28.0,0.9323849127842828,0.501146428089736,validation,,
"ESM2 150M, seed 123, bs1",validation_history,29.0,0.9293072671971768,0.5040986677456578,validation,,
"ESM2 150M, seed 123, bs1",validation_history,30.0,0.9428391395471036,0.5087443240570065,validation,,
"ESM2 150M, seed 123, bs1",validation_history,31.0,0.9183203501579088,0.5167318557149065,validation,,
"ESM2 150M, seed 123, bs1",validation_history,32.0,0.9242955028501332,0.519054683870581,validation,,
"ESM2 150M, seed 123, bs1",validation_history,33.0,0.9642500592093184,0.5078601507590402,validation,,
"ESM2 150M, seed 123, bs1",validation_history,34.0,0.9931547091557428,0.5022404052211182,validation,,
"ESM2 150M, seed 123, bs1",validation_history,35.0,0.933929581927438,0.5049453760733714,validation,,
"ESM2 150M, seed 123, bs1",validation_history,36.0,0.9262964297563602,0.5010565121611292,validation,,
"ESM2 150M, seed 123, bs1",validation_history,37.0,0.939588512110914,0.4964108558497804,validation,,
"ESM2 150M, seed 123, bs1",validation_history,38.0,0.9379038627331072,0.4914879587585607,validation,,
"ESM2 150M, seed 123, bs1",validation_history,39.0,0.9410089244190444,0.4903490236628751,validation,,
"ESM2 150M, seed 123, bs1",validation_history,40.0,0.9585924189314884,0.4837551888983799,validation,,
"ESM2 150M, seed 123, bs1",validation_history,41.0,0.9677847002306555,0.4761872649073116,validation,,
"ESM2 150M, seed 123, bs1",validation_history,42.0,0.9891555024008466,0.4644157712538775,validation,,
"ESM2 150M, seed 123, bs1",validation_history,43.0,0.9789675504733356,0.4621828590268098,validation,,
"ESM2 150M, seed 123, bs1",validation_history,44.0,0.9962998659182818,0.469188808464086,validation,,
"ESM2 150M, seed 123, bs1",validation_history,45.0,0.991033089466584,0.4640261355632483,validation,,
"ESM2 150M, seed 123, bs1",validation_history,46.0,0.9739302121675932,0.4685069460054848,validation,,
"ESM2 150M, seed 123, bs1",validation_history,47.0,0.9975239598852956,0.4702752926014176,validation,,
"ESM2 150M, seed 123, bs1",validation_history,48.0,1.0060381155747633,0.4532961680828425,validation,,
"ESM2 150M, seed 123, bs1",validation_history,49.0,0.9832454644716704,0.4690839065473781,validation,,
"ESM2 150M, seed 123, bs1",validation_history,50.0,1.0015632352258406,0.4559037300124383,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,1.0,1.0929,0.0601,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,2.0,1.0481,0.2386,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,3.0,1.0262,0.3207,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,4.0,1.0199,0.3583,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,5.0,1.0153,0.3616,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,6.0,1.0124,0.381,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,7.0,1.0108,0.4127,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,8.0,0.9957,0.4273,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,9.0,1.0032,0.4324,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,10.0,0.9966,0.433,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,11.0,0.976,0.4729,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,12.0,0.9862,0.4371,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,13.0,0.9823,0.4375,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,14.0,0.9867,0.4201,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,15.0,0.9818,0.4395,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,16.0,1.0387,0.3747,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,17.0,0.9737,0.4552,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,18.0,0.9854,0.4112,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,19.0,0.9547,0.4753,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,20.0,0.9607,0.4496,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,21.0,0.9694,0.4211,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,22.0,0.9509,0.451,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,23.0,0.9584,0.4246,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,24.0,0.9577,0.4323,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,25.0,0.9468,0.4373,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,26.0,0.936,0.4493,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,27.0,0.9298,0.4581,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,28.0,0.9437,0.4509,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,29.0,0.9219,0.4503,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,30.0,0.9277,0.4565,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,31.0,0.9445,0.4503,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,32.0,0.9333,0.4539,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,33.0,0.9482,0.4381,validation,,
