model,split,rows,MAE,RMSE,Spearman,prediction_std,true_std,pred_std_true_std,error_vs_true_Pearson,low_rows,low_MAE,mid_rows,mid_MAE,high_rows,high_MAE,below_P10_rows,below_P10_MAE,above_P90_rows,above_P90_MAE
all_cdr_pooled,train,934,0.7497275079853785,0.9480815084019155,0.5831119653794373,0.5005497363036953,1.150500900223297,0.4350711383246594,-0.9041201063338142,311,0.9194713919109087,312,0.3744677312863179,311,0.9564500238351117,94,1.5771757896910323,94,1.3832231582479273
all_cdr_pooled,val,117,0.9587578528966659,1.3931252765090856,0.42393861739273775,0.46182183085411543,1.4829400409888154,0.31142313113763886,-0.9504259584812648,38,1.05980426386783,42,0.34723631540934247,37,1.5491400409389187,16,1.7659049332141876,13,2.5008444419273963
all_cdr_pooled,test,117,0.9373225350665231,1.305612524795426,0.36994410226438273,0.4344868417430878,1.3705153605190643,0.3170244232640572,-0.9484198744256153,38,1.167428920143529,42,0.37729657263982863,37,1.3367022050393593,16,1.8650448024272919,12,2.0886817375818887
all_cdr_cross_attention,train,934,0.7596758609155005,0.9840039887459067,0.54031117363608,0.5274362483438615,1.150500900223297,0.4584405351108313,-0.8897827188988561,311,1.1369015434547252,312,0.3494140597490164,311,0.7940311493214304,94,1.827752062614928,94,1.2357306683317144
all_cdr_cross_attention,val,117,0.9824878721155672,1.3928181414310958,0.4187609585037989,0.5680988056044158,1.4829400409888154,0.38308953154006886,-0.9239096538131577,38,1.180506612125196,42,0.4800224644797189,37,1.3494834126652897,16,1.8470545262098312,13,2.4690221639779897
all_cdr_cross_attention,test,117,0.9522644902905847,1.3007549065265935,0.3860765184552443,0.5378731373918477,1.3705153605190643,0.392460495435918,-0.9202201291279888,38,1.4181862442116988,42,0.3875831990014939,37,1.1147398304294895,16,2.0272849649190903,12,1.848310073216756
