summary_type,group,seed,policy,n_seeds,MAE,RMSE,Spearman,pred_std_true_std,error_vs_true_Pearson,below_train_p10_MAE,above_train_p90_MAE,tail_MAE
seed,unweighted,42,best_val_mae,1,0.9642112662649562,1.3095586043265488,0.3736156693491585,0.3297720799148725,-0.9440986443370724,1.788949504494667,2.212518572807312,2.0007340386509895
seed,unweighted,42,best_val_spearman,1,0.9642112662649562,1.3095586043265488,0.3736156693491585,0.3297720799148725,-0.9440986443370724,1.788949504494667,2.212518572807312,2.0007340386509895
seed,unweighted,42,best_val_spread,1,0.9235019154018826,1.252575265490534,0.4615684335146637,0.4859459101890276,-0.874900155482695,1.5657923221588137,1.8871684074401855,1.7264803647994995
seed,unweighted,42,best_val_tail_mae,1,0.9291818773644602,1.2552285136101062,0.4563458166614215,0.4831166093771916,-0.876617278374796,1.7096461206674576,1.8193764686584473,1.7645112946629524
seed,unweighted,123,best_val_mae,1,0.9536593938485172,1.305125178701249,0.3746497025281362,0.3853457515823359,-0.9233335891595384,1.9754584580659864,1.9728233019510903,1.9741408800085387
seed,unweighted,123,best_val_spearman,1,0.9536593938485172,1.305125178701249,0.3746497025281362,0.3853457515823359,-0.9233335891595384,1.9754584580659864,1.9728233019510903,1.9741408800085387
seed,unweighted,123,best_val_spread,1,0.8884226175454947,1.210228831708618,0.5369404606692741,0.5453884603130198,-0.8394661832780705,1.4988533705472946,1.7591344515482583,1.628993911047777
seed,unweighted,123,best_val_tail_mae,1,0.9258669095161632,1.2584205248656697,0.4746811731031485,0.549246774228624,-0.8392256241248487,1.809776991605759,1.6074907779693604,1.7086338847875595
seed,unweighted,2026,best_val_mae,1,0.9701171573410686,1.3153419282864085,0.3630280687557133,0.3219807883793913,-0.9467679459800112,1.733874574303627,2.265495777130127,1.999685175716877
seed,unweighted,2026,best_val_spearman,1,0.9924719415159308,1.336953995243424,0.3673665123109891,0.3117732259601312,-0.9501673507339512,1.6466592252254486,2.3955987691879272,2.021128997206688
seed,unweighted,2026,best_val_spread,1,0.903508842500866,1.236144319701445,0.4695559651725635,0.509419021250997,-0.8616222343245179,1.5362673848867416,1.8635086218516033,1.6998880033691726
seed,unweighted,2026,best_val_tail_mae,1,0.9120949089017688,1.2262911940591743,0.4939381678130947,0.4993496343412985,-0.8665128375998457,1.7931052893400192,1.5535375674565632,1.6733214283982911
seed,tailaware_w2,42,best_val_mae,1,0.964546872000409,1.321543532149217,0.3693821277105906,0.3890131859263377,-0.9219974968520012,1.719333752989769,2.21776815255483,1.9685509527722995
seed,tailaware_w2,42,best_val_spearman,1,0.99120546813704,1.3412056591128558,0.3871854815747276,0.4904646366608262,-0.8759219815665866,2.083790048956871,1.6225279569625854,1.853159002959728
seed,tailaware_w2,42,best_val_spread,1,0.9426014810545832,1.293784624403441,0.4478337754199822,0.5829062140964825,-0.82219675252163,1.5631601214408877,1.804594357808431,1.683877239624659
seed,tailaware_w2,42,best_val_tail_mae,1,0.9426014810545832,1.293784624403441,0.4478337754199822,0.5829062140964825,-0.82219675252163,1.5631601214408877,1.804594357808431,1.683877239624659
seed,tailaware_w2,123,best_val_mae,1,0.9672939471709424,1.317363918350279,0.3855969668360082,0.4686176436877446,-0.8868568923739958,1.806202411651611,1.9962107340494792,1.9012065728505456
seed,tailaware_w2,123,best_val_spearman,1,0.9672939471709424,1.317363918350279,0.3855969668360082,0.4686176436877446,-0.8868568923739958,1.806202411651611,1.9962107340494792,1.9012065728505456
seed,tailaware_w2,123,best_val_spread,1,0.8924587791801518,1.2388693516421834,0.4988985298745672,0.5946875581488911,-0.8092193211511615,1.290538027882576,1.8367016712824504,1.563619849582513
seed,tailaware_w2,123,best_val_tail_mae,1,0.9397352190099212,1.2802729356882243,0.4644007852657764,0.6325047590252171,-0.7882979996655373,1.6398588418960571,1.5791540543238325,1.6095064481099448
seed,tailaware_w2,2026,best_val_mae,1,0.9811462459401188,1.3160779969096394,0.4083681757556684,0.4756840599619046,-0.8823327733137203,1.5707154273986816,2.090383609135946,1.8305495182673135
seed,tailaware_w2,2026,best_val_spearman,1,1.0028683894719832,1.355652596656697,0.3674489352455454,0.3853132092053598,-0.9234743289241804,1.536350592970848,2.3960655132929483,1.9662080531318984
seed,tailaware_w2,2026,best_val_spread,1,0.949300331947131,1.3081257847376264,0.4438924605493863,0.5892377144236267,-0.8181739887607286,1.3488024920225143,1.9689174095789592,1.658859950800737
seed,tailaware_w2,2026,best_val_tail_mae,1,0.9435510553865352,1.2664480614088245,0.4530264202970223,0.5649653701876562,-0.8300609797963198,1.7140395641326904,1.5906749566396077,1.652357260386149
mean,tailaware_w2,,best_val_mae,3,0.9709956883704901,1.3183284824697117,0.38778242343408903,0.444438296525329,-0.897062387513239,1.6987505306800206,2.1014541652467518,1.9001023479633863
